날짜,전체,유가증권,코스닥,전체1,유가증권1,코스닥1,전체2
2019-07-02,"10,229,631","4,701,294","5,528,337","18,620","11,530","7,090","18,946,443"
2019-07-01,"10,363,157","4,746,018","5,617,139","18,948","11,757","7,191","19,001,094"
2019-06-28,"10,470,084","4,797,569","5,672,515","18,490","11,351","7,139","18,977,754"
2019-06-27,"10,509,358","4,817,620","5,691,738","18,019","11,198","6,821","18,980,072"
2019-06-26,"10,507,230","4,821,181","5,686,050","19,052","11,592","7,459","18,934,611"
2019-06-25,"10,500,369","4,828,799","5,671,571","18,782","11,217","7,565","18,914,785"
2019-06-24,"10,451,477","4,796,069","5,655,409","20,001","12,202","7,798","18,811,432"
2019-06-21,"10,446,261","4,805,613","5,640,647","19,582","12,530","7,053","18,992,102"
2019-06-20,"10,499,060","4,854,850","5,644,211","19,621","12,112","7,509","18,998,676"
2019-06-19,"10,509,245","4,869,916","5,639,329","19,489","12,033","7,456","18,841,460"
2019-06-18,"10,502,406","4,866,411","5,635,995","19,266","11,780","7,485","18,821,069"
2019-06-17,"10,435,142","4,849,537","5,585,605","21,196","12,907","8,289","18,807,295"
2019-06-14,"10,373,026","4,809,582","5,563,445","21,415","13,401","8,014","18,809,784"
2019-06-13,"10,299,978","4,784,919","5,515,059","21,803","13,289","8,513","18,783,583"
2019-06-12,"10,262,589","4,786,561","5,476,028","20,864","12,647","8,217","18,783,070"
2019-06-11,"10,227,782","4,807,049","5,420,733","20,058","12,065","7,993","18,782,104"
2019-06-10,"10,194,359","4,793,793","5,400,566","19,460","11,960","7,500","18,766,940"
2019-06-07,"10,163,454","4,780,521","5,382,934","18,344","11,280","7,063","18,720,097"
2019-06-05,"10,150,952","4,777,056","5,373,897","18,446","11,603","6,843","18,837,618"
2019-06-04,"10,163,620","4,798,182","5,365,438","17,724","11,056","6,668","18,859,086"
2019-06-03,"10,197,269","4,809,183","5,388,086","16,534","10,253","6,280","18,735,102"
2019-05-31,"10,252,568","4,830,467","5,422,101","16,802","10,631","6,171","18,756,484"
2019-05-30,"10,237,966","4,822,638","5,415,328","17,871","11,730","6,142","18,774,398"
2019-05-29,"10,211,139","4,794,940","5,416,199","15,994","10,365","5,629","18,788,279"
2019-05-28,"10,237,544","4,773,234","5,464,310","16,190","10,370","5,820","18,757,733"
2019-05-27,"10,302,833","4,794,506","5,508,327","16,547","10,469","6,078","18,768,640"
2019-05-24,"10,337,829","4,812,788","5,525,042","17,062","10,716","6,346","18,765,782"
2019-05-23,"10,327,289","4,806,806","5,520,484","16,619","10,366","6,254","18,717,106"
2019-05-22,"10,355,910","4,817,698","5,538,212","16,133","10,351","5,782","18,727,283"
2019-05-21,"10,402,366","4,834,991","5,567,376","16,204","10,964","5,240","18,757,442"
2019-05-20,"10,414,085","4,831,663","5,582,423","16,668","11,346","5,322","18,754,102"
2019-05-17,"10,350,206","4,798,950","5,551,256","17,726","12,041","5,685","18,703,103"
2019-05-16,"10,319,329","4,795,439","5,523,890","17,443","12,237","5,206","18,725,102"
2019-05-15,"10,401,084","4,823,605","5,577,479","16,569","11,230","5,339","18,810,443"
2019-05-14,"10,432,674","4,839,318","5,593,355","17,508","11,877","5,631","18,836,452"
2019-05-13,"10,562,454","4,879,696","5,682,758","17,949","12,145","5,804","18,848,550"
2019-05-10,"10,632,620","4,859,404","5,773,216","21,039","14,889","6,149","18,770,843"
2019-05-09,"10,681,676","4,875,487","5,806,189","20,936","14,691","6,245","18,761,410"
2019-05-08,"10,718,047","4,877,447","5,840,600","22,243","14,993","7,250","18,713,657"
2019-05-07,"10,666,719","4,828,809","5,837,910","22,879","15,625","7,254","18,679,306"
2019-05-03,"10,647,470","4,831,290","5,816,179","22,923","15,638","7,285","18,674,948"
2019-05-02,"10,649,973","4,830,708","5,819,265","22,823","15,700","7,123","18,657,426"
2019-04-30,"10,682,613","4,855,889","5,826,724","21,898","15,090","6,808","18,694,965"
2019-04-29,"10,751,403","4,873,025","5,878,379","22,774","15,365","7,409","18,804,951"
2019-04-26,"10,780,516","4,894,437","5,886,080","23,102","15,108","7,994","18,791,177"
2019-04-25,"10,715,109","4,841,824","5,873,285","23,380","15,365","8,015","18,732,349"
2019-04-24,"10,678,980","4,832,229","5,846,751","23,600","15,420","8,180","18,640,983"
2019-04-23,"10,621,734","4,800,196","5,821,538","23,339","15,303","8,036","18,542,892"
2019-04-22,"10,625,746","4,795,635","5,830,112","23,543","15,505","8,038","18,604,589"
